bank_transaction_id,bank_account_id,client_id,transaction_date,value_date,currency_code,transaction_amount,transaction_amount_eur,transaction_type,reference_text,reconciliation_status
BTX000000001,BAC000000001,CLI000000001,2023-01-21,2023-01-22,EUR,5749.26,5749.26,CUSTOMER_PAYMENT,AR-00001-202301-000001,MATCHED
BTX000000002,BAC000000001,CLI000000001,2023-03-14,2023-03-14,EUR,-316.97,-316.97,SUPPLIER_PAYMENT,AP-00001-202301-000002,MATCHED
BTX000000003,BAC000000001,CLI000000001,2023-03-27,2023-03-28,EUR,717.52,717.52,CUSTOMER_PAYMENT,AR-00001-202302-000003,MATCHED
BTX000000004,BAC000000001,CLI000000001,2023-02-12,2023-02-12,EUR,333.93,333.93,CUSTOMER_PAYMENT,AR-00001-202302-000004,MATCHED
BTX000000005,BAC000000001,CLI000000001,2023-02-25,2023-02-26,EUR,-1212.20,-1212.20,SUPPLIER_PAYMENT,AP-00001-202302-000005,MATCHED
BTX000000006,BAC000000002,CLI000000002,2023-01-29,2023-01-29,EUR,514.11,514.11,CUSTOMER_PAYMENT,AR-00002-202301-000006,MATCHED
BTX000000007,BAC000000002,CLI000000002,2023-02-02,2023-02-03,EUR,-1038.26,-1038.26,SUPPLIER_PAYMENT,AP-00002-202301-000008,MATCHED
BTX000000008,BAC000000003,CLI000000003,2023-03-16,2023-03-16,EUR,442.79,442.79,CUSTOMER_PAYMENT,AR-00003-202301-000009,MATCHED
BTX000000009,BAC000000003,CLI000000003,2023-03-08,2023-03-08,EUR,1119.09,1119.09,CUSTOMER_PAYMENT,AR-00003-202301-000010,MATCHED
BTX000000010,BAC000000003,CLI000000003,2023-02-04,2023-02-05,EUR,2369.21,2369.21,CUSTOMER_PAYMENT,AR-00003-202301-000011,MATCHED
BTX000000011,BAC000000003,CLI000000003,2023-01-23,2023-01-23,EUR,-577.61,-577.61,SUPPLIER_PAYMENT,AP-00003-202301-000012,MATCHED
BTX000000012,BAC000000003,CLI000000003,2023-02-03,2023-02-03,EUR,-495.43,-495.43,SUPPLIER_PAYMENT,AP-00003-202301-000013,MATCHED
BTX000000013,BAC000000003,CLI000000003,2023-01-15,2023-01-16,EUR,-438.84,-438.84,SUPPLIER_PAYMENT,AP-00003-202301-000014,MATCHED
BTX000000014,BAC000000003,CLI000000003,2023-03-04,2023-03-04,EUR,1480.06,1480.06,CUSTOMER_PAYMENT,AR-00003-202302-000015,MATCHED
BTX000000015,BAC000000003,CLI000000003,2023-04-17,2023-04-17,EUR,109.75,109.75,CUSTOMER_PAYMENT,AR-00003-202302-000016,MATCHED
BTX000000016,BAC000000003,CLI000000003,2023-03-06,2023-03-07,EUR,-482.60,-482.60,SUPPLIER_PAYMENT,AP-00003-202302-000017,MATCHED
BTX000000017,BAC000000003,CLI000000003,2023-03-10,2023-03-10,EUR,-1389.12,-1389.12,SUPPLIER_PAYMENT,AP-00003-202302-000018,MATCHED
BTX000000018,BAC000000004,CLI000000004,2023-03-15,2023-03-16,EUR,578.49,578.49,CUSTOMER_PAYMENT,AR-00004-202301-000019,MATCHED
BTX000000019,BAC000000004,CLI000000004,2023-01-27,2023-01-27,EUR,911.35,911.35,CUSTOMER_PAYMENT,AR-00004-202301-000020,MATCHED
BTX000000020,BAC000000004,CLI000000004,2023-03-15,2023-03-16,EUR,-871.77,-871.77,SUPPLIER_PAYMENT,AP-00004-202301-000021,MATCHED
BTX000000021,BAC000000004,CLI000000004,2023-03-10,2023-03-11,EUR,1360.82,1360.82,CUSTOMER_PAYMENT,AR-00004-202302-000023,MATCHED
BTX000000022,BAC000000004,CLI000000004,2023-03-03,2023-03-03,EUR,2153.27,2153.27,CUSTOMER_PAYMENT,AR-00004-202302-000024,MATCHED
BTX000000023,BAC000000004,CLI000000004,2023-03-27,2023-03-27,EUR,2471.40,2471.40,CUSTOMER_PAYMENT,AR-00004-202302-000025,MATCHED
BTX000000024,BAC000000004,CLI000000004,2023-03-27,2023-03-28,EUR,-362.62,-362.62,SUPPLIER_PAYMENT,AP-00004-202302-000027,MATCHED
BTX000000025,BAC000000004,CLI000000004,2023-04-13,2023-04-14,EUR,-104.01,-104.01,SUPPLIER_PAYMENT,AP-00004-202302-000028,MATCHED
BTX000000026,BAC000000005,CLI000000005,2023-04-02,2023-04-02,EUR,386.12,386.12,CUSTOMER_PAYMENT,AR-00005-202301-000029,MATCHED
BTX000000027,BAC000000005,CLI000000005,2023-03-19,2023-03-19,EUR,1026.38,1026.38,CUSTOMER_PAYMENT,AR-00005-202301-000030,MATCHED
BTX000000028,BAC000000005,CLI000000005,2023-03-09,2023-03-10,EUR,-375.15,-375.15,SUPPLIER_PAYMENT,AP-00005-202301-000032,MATCHED
BTX000000029,BAC000000005,CLI000000005,2023-02-02,2023-02-02,EUR,-1120.22,-1120.22,SUPPLIER_PAYMENT,AP-00005-202301-000033,MATCHED
BTX000000030,BAC000000005,CLI000000005,2023-02-01,2023-02-01,EUR,-51.51,-51.51,SUPPLIER_PAYMENT,AP-00005-202301-000034,MATCHED
BTX000000031,BAC000000005,CLI000000005,2023-03-12,2023-03-13,EUR,1173.21,1173.21,CUSTOMER_PAYMENT,AR-00005-202302-000035,MATCHED
BTX000000032,BAC000000005,CLI000000005,2023-04-23,2023-04-24,EUR,1246.89,1246.89,CUSTOMER_PAYMENT,AR-00005-202302-000036,MATCHED
BTX000000033,BAC000000005,CLI000000005,2023-03-08,2023-03-08,EUR,-305.91,-305.91,SUPPLIER_PAYMENT,AP-00005-202302-000037,MATCHED
BTX000000034,BAC000000005,CLI000000005,2023-03-05,2023-03-06,EUR,-1520.64,-1520.64,SUPPLIER_PAYMENT,AP-00005-202302-000038,MATCHED
BTX000000035,BAC000000006,CLI000000006,2023-02-01,2023-02-02,EUR,476.55,476.55,CUSTOMER_PAYMENT,AR-00006-202301-000039,MATCHED
BTX000000036,BAC000000006,CLI000000006,2023-01-10,2023-01-11,EUR,441.25,441.25,CUSTOMER_PAYMENT,AR-00006-202301-000040,MATCHED
BTX000000037,BAC000000006,CLI000000006,2023-02-01,2023-02-02,EUR,-1290.98,-1290.98,SUPPLIER_PAYMENT,AP-00006-202301-000041,MATCHED
BTX000000038,BAC000000006,CLI000000006,2023-03-05,2023-03-06,EUR,110.41,110.41,CUSTOMER_PAYMENT,AR-00006-202302-000042,MATCHED
