counterparty_id,client_id,counterparty_name,counterparty_type,country_code,currency_code,risk_category
CP000000001,CLI000000001,Main Services Süd AG,CUSTOMER,DE,EUR,LOW
CP000000002,CLI000000001,Stern Medien UG (haftungsbeschränkt),SUPPLIER,DE,EUR,LOW
CP000000003,CLI000000001,Ost Technik AG,SUPPLIER,DE,EUR,LOW
CP000000004,CLI000000001,Alpen Automotive Prime AG,SUPPLIER,DE,EUR,LOW
CP000000005,CLI000000001,Rhein Consulting Deutschland GmbH,CUSTOMER,DE,EUR,LOW
CP000000006,CLI000000001,Tal Management GmbH,CUSTOMER,DE,EUR,MEDIUM
CP000000007,CLI000000001,Kronen Systeme Direkt UG (haftungsbeschränkt),SUPPLIER,DE,EUR,HIGH
CP000000008,CLI000000001,Kronen Produktion UG (haftungsbeschränkt),CUSTOMER,DE,EUR,MEDIUM
CP000000009,CLI000000001,Donau Partner GmbH,SUPPLIER,DE,EUR,MEDIUM
CP000000010,CLI000000001,Hafen Produktion UG (haftungsbeschränkt),CUSTOMER,DE,EUR,LOW
CP000000011,CLI000000001,Metropol Gesundheit Prime GmbH,SUPPLIER,DE,EUR,LOW
CP000000012,CLI000000001,Taunus Industrie UG (haftungsbeschränkt),SUPPLIER,DE,EUR,LOW
CP000000013,CLI000000001,Hafen Netzwerk GmbH,SUPPLIER,DE,EUR,LOW
CP000000014,CLI000000001,Süd Solutions AG,SUPPLIER,DE,EUR,LOW
CP000000015,CLI000000002,Nord Immobilien Mitte e.K.,SUPPLIER,DE,EUR,LOW
CP000000016,CLI000000002,Tal Projekt GmbH,SUPPLIER,DE,EUR,LOW
CP000000017,CLI000000002,Alpen Immobilien Regional AG,CUSTOMER,DE,EUR,LOW
CP000000018,CLI000000002,Aurum Digital Ost AG,SUPPLIER,DE,EUR,MEDIUM
CP000000019,CLI000000002,Kontor Manufacturing Ost AG,SUPPLIER,DE,EUR,MEDIUM
CP000000020,CLI000000002,Elbe Bau Zentrum UG (haftungsbeschränkt),SUPPLIER,DE,EUR,LOW
CP000000021,CLI000000002,Tal Gesundheit UG (haftungsbeschränkt),CUSTOMER,DE,EUR,LOW
CP000000022,CLI000000002,Metropol Logistik Kompetenz UG (haftungsbeschränkt),CUSTOMER,DE,EUR,MEDIUM
CP000000023,CLI000000002,Europa Innovation Berlin e.K.,CUSTOMER,DE,EUR,MEDIUM
CP000000024,CLI000000002,Donau Development Rheinland UG (haftungsbeschränkt),CUSTOMER,DE,EUR,LOW
CP000000025,CLI000000002,Pioneer Holding e.K.,SUPPLIER,DE,EUR,LOW
CP000000026,CLI000000002,Union Produktion e.K.,SUPPLIER,DE,EUR,LOW
CP000000027,CLI000000002,Hafen Group UG (haftungsbeschränkt),SUPPLIER,DE,EUR,LOW
CP000000028,CLI000000002,Kronen Maritim Direkt AG,CUSTOMER,DE,EUR,LOW
CP000000029,CLI000000002,Atlas Consulting UG (haftungsbeschränkt),CUSTOMER,DE,EUR,LOW
CP000000030,CLI000000003,Atlas Engineering Direkt AG,CUSTOMER,DE,EUR,LOW
CP000000031,CLI000000003,Forum Group Europa AG,SUPPLIER,DE,EUR,MEDIUM
CP000000032,CLI000000003,Alpen Industrie e.K.,CUSTOMER,DE,EUR,LOW
CP000000033,CLI000000003,Alpen Development Bavaria e.K.,SUPPLIER,DE,EUR,LOW
CP000000034,CLI000000003,Brücke Partner e.K.,SUPPLIER,DE,EUR,LOW
CP000000035,CLI000000003,Linden Technik Direkt e.K.,CUSTOMER,DE,EUR,HIGH
CP000000036,CLI000000003,Taunus Logistik AG,CUSTOMER,DE,EUR,MEDIUM
CP000000037,CLI000000003,Mosel Industrie UG (haftungsbeschränkt),CUSTOMER,DE,EUR,LOW
CP000000038,CLI000000004,Atlas Innovation AG,CUSTOMER,DE,EUR,LOW
CP000000039,CLI000000004,Main Projekt UG (haftungsbeschränkt),CUSTOMER,DE,EUR,MEDIUM
CP000000040,CLI000000004,Nova Commerce GmbH,CUSTOMER,DE,EUR,LOW
CP000000041,CLI000000004,Nord Engineering AG,CUSTOMER,DE,EUR,LOW
CP000000042,CLI000000004,Kontor Consulting Plus AG,SUPPLIER,DE,EUR,LOW
CP000000043,CLI000000004,Kontor Commerce e.K.,SUPPLIER,DE,EUR,LOW
CP000000044,CLI000000004,Elbe Maritim UG (haftungsbeschränkt),CUSTOMER,DE,EUR,MEDIUM
CP000000045,CLI000000004,Stern Industrie Europa e.K.,CUSTOMER,DE,EUR,LOW
CP000000046,CLI000000004,Linden Partner Zentrum AG,SUPPLIER,DE,EUR,LOW
CP000000047,CLI000000005,Metropol Netzwerk Direkt AG,SUPPLIER,DE,EUR,LOW
CP000000048,CLI000000005,Hafen Projekt Süd e.K.,CUSTOMER,DE,EUR,LOW
CP000000049,CLI000000005,Mosel Medien UG (haftungsbeschränkt),SUPPLIER,DE,EUR,MEDIUM
CP000000050,CLI000000005,Main Immobilien Deutschland AG,CUSTOMER,DE,EUR,LOW
CP000000051,CLI000000005,Hafen Werk UG (haftungsbeschränkt),SUPPLIER,DE,EUR,LOW
CP000000052,CLI000000005,Europa Systeme UG (haftungsbeschränkt),SUPPLIER,DE,EUR,LOW
CP000000053,CLI000000005,Stern Energie e.K.,SUPPLIER,DE,EUR,MEDIUM
CP000000054,CLI000000005,Hanse Logistik Mitte e.K.,CUSTOMER,DE,EUR,LOW
CP000000055,CLI000000005,Elbe Bildung International AG,CUSTOMER,DE,EUR,MEDIUM
CP000000056,CLI000000005,Union Manufacturing Kompetenz e.K.,SUPPLIER,DE,EUR,LOW
CP000000057,CLI000000005,Main Medien GmbH,SUPPLIER,DE,EUR,LOW
CP000000058,CLI000000005,Kronen Energie West UG (haftungsbeschränkt),CUSTOMER,DE,EUR,LOW
CP000000059,CLI000000005,Berg Werk Saxonia e.K.,SUPPLIER,DE,EUR,LOW
